Date,Volume
4/20/2021 0:02,2.406733604
4/20/2021 0:01,0.5734577
4/20/2021 0:00,3.309903747
4/19/2021 23:59,0.68493443
4/19/2021 23:58,0.477224563
4/19/2021 23:57,5.46171654
4/19/2021 23:56,0.696310659
4/19/2021 23:55,0.47016148
4/19/2021 23:54,0.45672227
4/19/2021 23:53,0.28641922
4/19/2021 23:52,0.52427084
4/19/2021 23:51,0.76722776
4/19/2021 23:50,3.533437971
4/19/2021 23:49,0.58663111
4/19/2021 23:48,6.05982841
4/19/2021 23:47,0.137560993
4/19/2021 23:46,0.21195796
4/19/2021 23:45,0.15740777
4/19/2021 23:44,1.81944885
4/19/2021 23:43,0.76952579
4/19/2021 23:42,1.926222234
4/19/2021 23:41,0.67901809
4/19/2021 23:40,2.04317603
4/19/2021 23:39,2.18454263
4/19/2021 23:38,1.15783506
4/19/2021 23:37,2.30551045
4/19/2021 23:36,1.94531415
4/19/2021 23:35,3.56937825
4/19/2021 23:34,3.721432334
4/19/2021 23:33,6.09178245
4/19/2021 23:32,2.15372352
4/19/2021 23:31,1.866298072
4/19/2021 23:30,2.11922981
4/19/2021 23:29,5.04483106
4/19/2021 23:28,2.162904595
4/19/2021 23:27,4.746355558
4/19/2021 23:26,1.968116816
4/19/2021 23:25,0.35369932
4/19/2021 23:24,0.32991896
4/19/2021 23:23,0.90869082
4/19/2021 23:22,0.54277539
4/19/2021 23:21,0.30071598
4/19/2021 23:20,1.16764762
4/19/2021 23:19,0.427220839
4/19/2021 23:18,1.43667475
4/19/2021 23:17,0.155485262
4/19/2021 23:16,0.71699
4/19/2021 23:15,0.48495928
4/19/2021 23:14,1.64786636
4/19/2021 23:13,0.596992605
4/19/2021 23:12,5.179757195
4/19/2021 23:11,1.30698776
4/19/2021 23:10,3.1325546
4/19/2021 23:09,0.44687963
4/19/2021 23:08,1.59421489
4/19/2021 23:07,1.38068588
4/19/2021 23:06,1.37832533
4/19/2021 23:05,3.018756487
4/19/2021 23:04,1.05005962
4/19/2021 23:03,0.789594282
4/19/2021 23:02,0.530566404
4/19/2021 23:01,0.58174778
4/19/2021 23:00,1.06858581
4/19/2021 22:59,1.3321508
4/19/2021 22:58,0.96311846
4/19/2021 22:57,4.13483863
4/19/2021 22:56,3.173766803
4/19/2021 22:55,5.848762681
4/19/2021 22:54,5.30151997
4/19/2021 22:53,3.32980979
4/19/2021 22:52,2.965963226
4/19/2021 22:51,0.10811086
4/19/2021 22:50,0.556505574
4/19/2021 22:49,1.120701666
4/19/2021 22:48,0.5074874
4/19/2021 22:47,1.40522628
4/19/2021 22:46,3.344072881
4/19/2021 22:45,0.986347494
4/19/2021 22:44,0.25869789
4/19/2021 22:43,0.79102462
4/19/2021 22:42,0.55298603
4/19/2021 22:41,0.089861855
4/19/2021 22:40,0.94441133
4/19/2021 22:39,1.85655475
4/19/2021 22:38,1.865081875
4/19/2021 22:37,0.801397098
4/19/2021 22:36,1.899450209
4/19/2021 22:35,2.73696214
4/19/2021 22:34,0.55805983
4/19/2021 22:33,3.21307743
4/19/2021 22:32,2.665199068
4/19/2021 22:31,3.29430163
4/19/2021 22:30,2.85233738
4/19/2021 22:29,2.09200766
4/19/2021 22:28,3.92907546
4/19/2021 22:27,0.681159
4/19/2021 22:26,0.92956785
4/19/2021 22:25,1.83821401
4/19/2021 22:24,0.73476055
4/19/2021 22:23,1.180309263
4/19/2021 22:22,0.87725967
4/19/2021 22:21,1.13849033
4/19/2021 22:20,1.83760121
4/19/2021 22:19,1.41562109
4/19/2021 22:18,2.40549474
4/19/2021 22:17,2.40790417
4/19/2021 22:16,2.90560661
4/19/2021 22:15,1.79684589
4/19/2021 22:14,0.2773772
4/19/2021 22:13,1.428106685
4/19/2021 22:12,0.48180107
4/19/2021 22:11,1.91274908
4/19/2021 22:10,2.27943407
4/19/2021 22:09,9.008079266
4/19/2021 22:08,1.40440524
4/19/2021 22:07,0.64931053
4/19/2021 22:06,1.46559434
4/19/2021 22:05,1.97208773
4/19/2021 22:04,1.15753829
4/19/2021 22:03,1.51563471
4/19/2021 22:02,2.637459808
4/19/2021 22:01,1.45194796
4/19/2021 22:00,4.018467964
4/19/2021 21:59,1.98387785
4/19/2021 21:58,0.982608784
4/19/2021 21:57,0.15138802
4/19/2021 21:56,1.27114641
4/19/2021 21:55,1.19768575
4/19/2021 21:54,0.96289646
4/19/2021 21:53,2.832622216
4/19/2021 21:52,3.046840567
4/19/2021 21:51,1.16360187
4/19/2021 21:50,3.97010793
4/19/2021 21:49,2.55389235
4/19/2021 21:48,1.514627149
4/19/2021 21:47,1.04726402
4/19/2021 21:46,2.57752732
4/19/2021 21:45,3.69262613
4/19/2021 21:44,0.503289229
4/19/2021 21:43,0.115947432
4/19/2021 21:42,1.925344345
4/19/2021 21:41,2.88172256
4/19/2021 21:40,1.9212137
4/19/2021 21:39,0.95751508
4/19/2021 21:38,0.61020145
4/19/2021 21:37,0.133891443
4/19/2021 21:36,0.34038274
4/19/2021 21:35,1.25760481
4/19/2021 21:34,0.657727072
4/19/2021 21:33,0.4113301
4/19/2021 21:32,0.932241493
4/19/2021 21:31,0.32746263
4/19/2021 21:30,0.25149372
4/19/2021 21:29,1.09165207
4/19/2021 21:28,1.728312299
4/19/2021 21:27,5.54556342
4/19/2021 21:26,2.73511098
4/19/2021 21:25,3.55027882
4/19/2021 21:24,1.43628124
4/19/2021 21:23,3.82458423
4/19/2021 21:22,4.56568193
4/19/2021 21:21,2.680644954
4/19/2021 21:20,15.11388326
4/19/2021 21:19,1.176685534
4/19/2021 21:18,0.53948497
4/19/2021 21:17,5.055652522
4/19/2021 21:16,3.6665814
4/19/2021 21:15,1.43624253
4/19/2021 21:14,2.60056763
4/19/2021 21:13,0.13244684
4/19/2021 21:12,1.03063141
4/19/2021 21:11,3.23409924
4/19/2021 21:10,1.83259814
4/19/2021 21:09,5.91821154
4/19/2021 21:08,1.0711876
